"Cite as: CAIT Climate Data Explorer. 2017. Washington, DC: World Resources Institute. Available online at: http://cait.wri.org.  Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2016, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, ©OECD/IEA, 2016.",,,,,,,,,,,,,,,,,,,,,
,,Total GHG,,Emissions by Gas excluding LUCF,,,,Emissions by Gas including LUCF,,,Emissions by Sector,,,,,,Emissions by Energy Sub-Sector,,,,
Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Albania,1990,11.69196461,11.83611541,6.043728,4.108368808,1.536325687,0.003542118,6.1648788,4.121368808,1.546325687,7.498514606,0.388430118,3.2514396,0.553580288,0.1441508,0,0.73,2.14,0.71,3.135539643,0.782974963
Albania,1991,9.11895917,9.26310997,4.110448,3.828129296,1.176905909,0.003475966,4.2315988,3.841129296,1.186905909,5.32307969,0.315083966,2.9221154,0.558680114,0.1441508,0,0.54,1.41,0.53,2.194365268,0.638714422
Albania,1992,6.870510528,7.014661328,2.238928,3.512486383,1.115686331,0.003409814,2.3600788,3.525486383,1.125686331,3.337644774,0.113497814,2.855588,0.56377994,0.1441508,0,0.41,0.76,0.41,1.273190893,0.494453881
Albania,1993,6.596969186,6.741119986,2.078928,3.331065071,1.183632453,0.003343662,2.2000788,3.344065071,1.193632453,2.862209858,0.113431662,3.052448,0.568879765,0.1441508,0,0.54,0.54,0.51,0.922016519,0.35019334
Albania,1994,7.13817491,7.28232571,2.136002667,3.577997458,1.420897275,0.00327751,2.257153467,3.590997458,1.430897275,2.651481609,0.06573351,3.8469802,0.573979591,0.1441508,0,0.61,0.46,0.63,0.690842144,0.260639465
Albania,1995,6.694674401,6.838825201,1.948928,3.331045846,1.411489197,0.003211358,2.0700788,3.344045846,1.421489197,2.101340026,0.113299358,3.9009556,0.579079417,0.1441508,0,0.4,0.49,0.63,0.519667769,0.061672257
Albania,1996,6.40760768,6.54036378,1.962592,3.172231187,1.268992236,0.003792257,2.0833481,3.179231187,1.273992236,2.104085784,0.117544257,3.6044011,0.581576539,0.1327561,0,0.33,0.46,0.62,0.642475883,0.051609901
Albania,1997,5.679936959,5.830688859,1.481296,2.986117328,1.208150475,0.004373156,1.6020479,3.003117328,1.221150475,1.666831542,0.066829156,3.3622026,0.584073661,0.1507519,0,0.32,0.24,0.49,0.575283996,0.041547546
Albania,1998,5.916553838,6.053516038,1.800304,2.854148969,1.257146815,0.004954055,1.9212662,2.863148969,1.264146815,1.9895773,0.056418055,3.2839877,0.586570784,0.1369622,0,0.33,0.4,0.74,0.48809211,0.03148519
Albania,1999,7.084800018,7.217556318,2.971296,2.89751391,1.210455154,0.005534954,3.0920523,2.90451391,1.215455154,3.142323057,0.067990954,3.2854181,0.589067906,0.1327563,0.11,0.29,0.49,1.4,0.950900223,0.021422834
Albania,2000,7.374058297,7.565397497,3.167936,2.921768651,1.278237793,0.006115853,3.2892752,2.960768651,1.309237793,3.295068815,0.105211853,3.3822126,0.591565029,0.1913392,0.12,0.38,0.47,1.47,0.963708337,0.011360479
Albania,2001,7.349355883,8.240178483,3.22,2.880285678,1.241072705,0.0079975,4.1098226,2.881285678,1.241072705,3.447236829,0.0191575,3.288356,0.594605654,0.8908226,0.13,0.35,0.54,1.54,1.011185926,0.016050903
Albania,2002,7.98678987,8.87575377,3.75,2.833785805,1.393124917,0.009879148,4.6389639,2.833785805,1.393124917,3.989404842,0.021039148,3.3786996,0.597646279,0.8889639,0.13,0.38,0.43,1.77,1.388663515,0.020741328
Albania,2003,8.402582656,9.296451356,4.109456,2.871570231,1.409795629,0.011760796,5.0003247,2.873570231,1.410795629,4.071572856,0.312376796,3.4179462,0.600686904,0.8938687,0.14,0.36,0.5,1.91,1.266141104,0.025431752
Albania,2004,8.478463943,9.367427843,4.295792,2.801276458,1.367753041,0.013642444,5.1847559,2.801276458,1.367753041,4.27374087,0.310594444,3.2904011,0.603727529,0.8889639,0.15,0.28,0.55,2.3,1.113618693,0.030122177
Albania,2005,8.251364529,9.140727529,4.065488,2.797508585,1.372843853,0.015524091,4.954851,2.797508585,1.372843853,4.095908883,0.272172091,3.2765154,0.606768155,0.889363,0.18,0.3,0.45,2.37,0.941096282,0.034812601
Albania,2006,8.150100961,7.941578861,4.050144,2.765974485,1.317691441,0.016291035,3.8406219,2.766974485,1.317691441,4.069069607,0.287595035,3.1833813,0.610054919,-0.2085221,0.14,0.26,0.68,1.92,1.172367652,0.036701955
Albania,2007,8.188778793,8.169867693,4.223344,2.654906386,1.293470429,0.017057979,4.0254329,2.754906386,1.372470429,4.06223033,0.471561979,3.0416447,0.613341684,-0.0189111,0.06,0.33,0.64,2.1,0.963639022,0.038591308
Albania,2008,7.957690525,7.752482525,4.168,2.534564986,1.237300617,0.017824922,3.958792,2.536564986,1.239300617,3.995391054,0.486984922,2.8586862,0.616628449,-0.205208,0.08,0.28,0.5,2.28,0.894910392,0.040480662
Albania,2009,8.030780557,7.820212657,4.323264,2.451368286,1.237556405,0.018591866,4.1126961,2.451368286,1.237556405,4.058551778,0.583015866,2.7692976,0.619915214,-0.2105679,0.06,0.14,0.78,2.3,0.796181762,0.042370016
Albania,2010,8.312193189,8.101157089,4.578528,2.465970287,1.248336093,0.019358809,4.3674919,2.465970287,1.248336093,4.221712501,0.67904681,2.7882319,0.623201978,-0.2110361,0.05,0.1,1.04,2.23,0.807453132,0.044259369
Albania,2011,8.785695792,8.448323292,5.03768,2.458875474,1.268346926,0.020793392,4.6883075,2.465875474,1.273346926,4.438089828,0.929633392,2.7911646,0.626807972,-0.3373725,0.06,0.12,1.11,2.34,0.813442078,0.044647751
Albania,2012,8.372155895,8.114825295,4.575536,2.495544261,1.27884766,0.022227974,4.2212054,2.549544261,1.32184766,3.784467156,1.128923975,2.8283508,0.630413965,-0.2573306,0.06,0.1,0.64,2.25,0.749431024,0.045036132
Albania,2013,8.556963098,8.199265198,4.786832,2.490908248,1.255560293,0.023662557,4.4291341,2.490908248,1.255560293,3.950844483,1.181654557,2.7904441,0.634019958,-0.3576979,0.12,0.05,0.58,2.45,0.825419969,0.045424513
Albania,2014,9.036455701,8.678753001,5.215536,2.518084635,1.277737926,0.025097139,4.8578333,2.518084635,1.277737926,4.43722181,1.13179314,2.8298148,0.637625952,-0.3577027,0.08,0.12,0.91,2.47,0.891408915,0.045812895
Algeria,1990,90.73374889,91.70574889,68.04974133,18.39265478,4.264164517,0.027188265,68.92974133,18.44365478,4.305164517,75.72955925,3.368883697,7.332476,4.302829944,0.972,2.47,23.09,5.67,15.8,6.8401002,24.31945905
Algeria,1991,90.17120179,91.14320179,67.10280267,18.80625864,4.224071076,0.038069415,67.98280267,18.85725864,4.265071076,75.16153565,3.395241361,7.1065447,4.507880081,0.972,2.17,24.07,6.22,16.88,7.792941297,20.19859436
Algeria,1992,90.3221869,91.2941869,66.33368,19.53855119,4.401005136,0.048950565,67.21368,19.58955119,4.442005136,74.72003205,3.472895025,7.4163296,4.712930218,0.972,2.15,24.06,6.31,16.8,8.035782394,19.52424966
Algeria,1993,98.36101526,99.33301526,73.65376,20.15541375,4.492009795,0.059831716,74.53376,20.20641375,4.533009795,82.40803512,3.510244688,7.524755,4.917980355,0.972,2.04,25.28,6.23,16.96,8.488623491,25.46941163
Algeria,1994,96.68905283,97.66105283,71.733456,20.58265651,4.302227455,0.070712866,72.613456,20.63365651,4.343227455,81.02419819,3.379050352,7.1627738,5.123030492,0.972,2.08,24.95,5.97,15.52,8.431464588,26.1627336
Algeria,1995,98.74640223,99.71840223,73.27216533,21.16029477,4.232348114,0.081594016,74.15216533,21.21129477,4.273348114,82.54977459,3.797456016,7.071091,5.328080629,0.972,2.15,25.86,6.26,15.11,8.354305685,26.9654689
Algeria,1996,99.5933018,100.5643018,71.63152267,23.47543298,4.338632535,0.147713619,72.51152267,23.52543298,4.379632535,82.77492179,3.699259619,7.1602522,5.958868183,0.971,2.01,25.72,5.88,14.96,8.582998672,27.62192312
Algeria,1997,103.283242,104.230242,73.08301333,25.77481548,4.211579956,0.213833221,73.96301333,25.81181548,4.241579956,85.63420233,4.059063221,7.0003207,6.589655738,0.947,1.89,27.71,5.29,15.01,8.261691659,29.37251068
Algeria,1998,108.1764583,109.1274583,74.81453333,28.27456419,4.807407978,0.279952824,75.69453333,28.31356419,4.839407978,88.86877621,4.323602824,7.763636,7.220443292,0.951,1.77,27.77,5.66,15.46,8.920384646,31.06839156
Algeria,1999,113.6734105,114.6284105,77.83158667,30.75782549,4.737925899,0.346072426,78.71158667,30.79882549,4.771925899,93.59040341,4.386622426,7.8451538,7.851230846,0.955,1.79,29.3,6.05,16.47,9.389077633,32.38132578
Algeria,2000,117.0715044,118.3185044,78.920376,33.069035,4.66990142,0.412192029,79.800376,33.271035,4.83490142,95.98439062,4.849018029,7.7560774,8.4820184,1.247,1.95,29.17,6.16,16.84,9.62777062,34.18662
Algeria,2001,114.747717,115.2680503,75.12382933,34.22675045,4.848690365,0.54844686,75.63716263,34.23075045,4.851690365,93.18889186,4.975054985,7.982922,8.600848169,0.5203333,1.98,30.19,6.25,17.04,9.839354837,29.86953702
Algeria,2002,121.4828104,122.0141437,80.820736,35.282003,4.69536971,0.684701691,81.3340693,35.292003,4.70336971,99.53876643,5.449171941,7.7751941,8.719677938,0.5313333,2.18,32.28,6.61,19.35,10.22093905,31.07782737
Algeria,2003,126.4090823,126.9564156,84.26778933,36.43558836,4.884748055,0.820956523,84.78112263,36.45458836,4.899748055,103.9868677,5.575208898,8.008498,8.838507707,0.5473333,1.89,32.52,7.01,21.75,11.02252327,31.68434439
Algeria,2004,129.7046521,130.2289854,85.45085067,37.72655401,5.5700361,0.957211354,85.96418397,37.73255401,5.5750361,105.1743689,6.697853854,8.8750919,8.957337476,0.5243333,2.18,31.74,8.09,22.02,11.86410749,31.47026141
Algeria,2005,134.542086,135.1224193,89.68263733,38.85887136,4.907111145,1.093466185,90.19597063,38.89587136,4.937111145,109.5095235,7.721570811,8.2348245,9.076167245,0.5803333,2.35,32.59,8.21,24.15,12.86569171,31.69383176
Algeria,2006,140.7132621,134.0705954,94.50972267,39.44311997,5.26491,1.495509494,87.76305597,39.50011997,5.31191,113.7966336,9.066088329,8.6614559,9.189084314,-6.6426667,2.23,34.23,8.7,25.62,12.56655691,32.69007667
Algeria,2007,148.6757653,142.2320986,101.4078933,40.06364247,5.306676656,1.897552804,94.66122663,40.23064247,5.442676656,120.510237,10.05519785,8.808329,9.302001384,-6.4436667,2.23,33.95,9.72,27.59,13.98742212,35.27281491
Algeria,2008,153.6934045,147.0597378,105.9050373,40.49881808,4.989953011,2.299596113,99.15837063,40.56081808,5.040953011,124.6579338,11.20918737,8.411365,9.414918453,-6.6336667,2.28,35.27,10.07,29.19,13.96828733,36.15964649
Algeria,2009,163.8496656,157.1029989,114.1401387,41.30137688,5.706510667,2.701639422,107.393472,41.30137688,5.706510667,132.6315239,12.27524088,9.4150653,9.527835523,-6.7466667,2.36,36.66,9.85,30.51,17.80915253,37.8123714
Algeria,2010,165.590542,158.8508753,114.5344987,42.01926898,5.933091623,3.103682731,107.787832,42.02326898,5.936091623,133.2480207,12.8576464,9.8441223,9.640752592,-6.7396667,2.46,36.32,10.95,31.7,17.22001774,37.05800297
Algeria,2011,171.7490602,171.4420602,118.634936,43.54066089,5.996517209,3.576946062,118.194936,43.61366089,6.056517209,138.6586689,13.28561716,10.0495088,9.755265258,-0.307,2.26,39.69,11.21,32.64,18.98791267,36.12075627
Algeria,2012,182.3342708,182.1202708,126.5931627,45.20857869,6.482320096,4.050209393,126.1531627,45.33257869,6.584320096,147.8758105,13.76488391,10.8237985,9.869777924,-0.214,2.44,44.12,10.2,36.03,20.75580759,36.77000291
Algeria,2013,187.5170607,187.0880607,129.8822507,46.73290949,6.378427783,4.523472724,129.4422507,46.73890949,6.383427783,152.6729654,13.99499867,10.864806,9.98429059,-0.429,2.55,43.76,10.13,37.39,23.03370252,38.34926288
Algeria,2014,202.0871262,201.6851262,140.6703707,48.42613869,7.99388077,4.996736054,140.2303707,48.44713869,8.01088077,163.4742403,15.72002543,12.7940572,10.09880326,-0.402,2.15,47.73,10.25,43.37,22.02159744,40.09264285
Andorra,1990,0.429371131,0.409915531,0.406704,0.021831863,0.000835268,0,0.3872484,0.021831863,0.000835268,0.406704,0,0,0.022667131,-0.0194556,,,,,,
Andorra,1991,0.430738971,0.411283371,0.406704,0.023166455,0.000868516,0,0.3872484,0.023166455,0.000868516,0.406704,0,0,0.024034971,-0.0194556,,,,,,
Andorra,1992,0.43210681,0.41265121,0.406704,0.024501046,0.000901764,0,0.3872484,0.024501046,0.000901764,0.406704,0,0,0.02540281,-0.0194556,,,,,,
Andorra,1993,0.43713865,0.41768305,0.410368,0.025835638,0.000935012,0,0.3909124,0.025835638,0.000935012,0.410368,0,0,0.02677065,-0.0194556,,,,,,
Andorra,1994,0.434842489,0.415386889,0.406704,0.02717023,0.00096826,0,0.3872484,0.02717023,0.00096826,0.406704,0,0,0.028138489,-0.0194556,,,,,,
Andorra,1995,0.454530329,0.435074729,0.425024,0.028504821,0.001001507,0,0.4055684,0.028504821,0.001001507,0.425024,0,0,0.029506329,-0.0194556,,,,,,
Andorra,1996,0.484962833,0.465507233,0.454336,0.029611694,0.001015139,0,0.4348804,0.029611694,0.001015139,0.454336,0,0,0.030626833,-0.0194556,,,,,,
Andorra,1997,0.497075337,0.477619737,0.465328,0.030718567,0.00102877,0,0.4458724,0.030718567,0.00102877,0.465328,0,0,0.031747337,-0.0194556,,,,,,
Andorra,1998,0.523843841,0.504388241,0.490976,0.031825439,0.001042402,0,0.4715204,0.031825439,0.001042402,0.490976,0,0,0.032867841,-0.0194556,,,,,,
Andorra,1999,0.546948345,0.527492745,0.51296,0.032932312,0.001056033,0,0.4935044,0.032932312,0.001056033,0.51296,0,0,0.033988345,-0.0194556,,,,,,
Andorra,2000,0.559060849,0.539605249,0.523952,0.034039185,0.001069664,0,0.5044964,0.034039185,0.001069664,0.523952,0,0,0.035108849,-0.0194556,,,,,,
Andorra,2001,0.56043877,0.53151847,0.523952,0.035386259,0.001100511,0,0.4950317,0.035386259,0.001100511,0.523952,0,0,0.03648677,-0.0289203,,,,,,
Andorra,2002,0.56914469,0.54022439,0.53128,0.036733334,0.001131357,0,0.5023597,0.036733334,0.001131357,0.53128,0,0,0.03786469,-0.0289203,,,,,,
Andorra,2003,0.574186611,0.545266311,0.534944,0.038080408,0.001162203,0,0.5060237,0.038080408,0.001162203,0.534944,0,0,0.039242611,-0.0289203,,,,,,
Andorra,2004,0.601212532,0.572292232,0.560592,0.039427483,0.001193049,0,0.5316717,0.039427483,0.001193049,0.560592,0,0,0.040620532,-0.0289203,,,,,,
Andorra,2005,0.617246453,0.588326153,0.575248,0.040774557,0.001223896,0,0.5463277,0.040774557,0.001223896,0.575248,0,0,0.041998453,-0.0289203,,,,,,
Andorra,2006,0.589763343,0.550823343,0.545936,0.042576427,0.001250916,0,0.506996,0.042576427,0.001250916,0.545936,0,0,0.043827343,-0.03894,,,,,,
Andorra,2007,0.584264234,0.545324234,0.538608,0.044378297,0.001277937,0,0.499668,0.044378297,0.001277937,0.538608,0,0,0.045656234,-0.03894,,,,,,
Andorra,2008,0.586093124,0.547153124,0.538608,0.046180166,0.001304958,0,0.499668,0.046180166,0.001304958,0.538608,0,0,0.047485124,-0.03894,,,,,,
Andorra,2009,0.565938015,0.526998015,0.516624,0.047982036,0.001331979,0,0.477684,0.047982036,0.001331979,0.516624,0,0,0.049314015,-0.03894,,,,,,
Andorra,2010,0.567766905,0.528826905,0.516624,0.049783905,0.001359,0,0.477684,0.049783905,0.001359,0.516624,0,0,0.051142905,-0.03894,,,,,,
Andorra,2011,0.543449455,0.521698955,0.490976,0.051111063,0.001362392,0,0.4692255,0.051111063,0.001362392,0.490976,0,0,0.052473455,-0.0217505,,,,,,
Andorra,2012,0.541116005,0.519365505,0.487312,0.052438221,0.001365785,0,0.4655615,0.052438221,0.001365785,0.487312,0,0,0.053804005,-0.0217505,,,,,,
Andorra,2013,0.531454555,0.509704055,0.47632,0.053765378,0.001369177,0,0.4545695,0.053765378,0.001369177,0.47632,0,0,0.055134555,-0.0217505,,,,,,
Andorra,2014,0.518129105,0.496378605,0.461664,0.055092536,0.00137257,0,0.4399135,0.055092536,0.00137257,0.461664,0,0,0.056465105,-0.0217505,,,,,,
Angola,1990,52.22005443,160.3154801,6.34592,30.95335556,14.91873345,0.002045418,89.7303457,50.72935556,19.85373345,25.09424157,0.130285418,26.4803708,0.515156647,108.0954257,1.06,0.48,1.76,1.02,1.604231117,20.23001045
Angola,1991,53.81418466,161.9096104,6.545333333,32.30703102,14.9592404,0.002579902,89.92975903,52.08303102,19.8942404,26.59757743,0.130819902,26.5566906,0.529096627,108.0954257,0.91,0.43,1.63,1.26,1.657318582,21.62025885
Angola,1992,55.07443569,163.1698614,6.392610667,33.66883448,15.00987615,0.003114385,89.77703637,53.44483448,19.94487615,27.7267933,0.153338385,26.6512674,0.543036607,108.0954257,0.83,0.37,1.71,1.19,1.610406046,22.84638725
Angola,1993,56.79508545,164.8905112,6.915789333,34.91702845,14.9586188,0.003648869,90.30021503,54.69302845,19.8936188,29.5795425,0.128224869,26.5303415,0.556976587,108.0954257,0.93,0.31,2.19,1.21,1.523493511,24.34604898
Angola,1994,57.87332245,165.9687481,6.708005333,36.25038701,14.91074675,0.004183353,90.09243103,56.02638701,19.84574675,30.67934503,0.125095353,26.4979655,0.570916567,108.0954257,1.34,0.38,1.63,1.54,1.666580976,25.46276405
Angola,1995,63.20287738,171.2983031,10.79255467,37.49442867,14.9111762,0.004717836,94.17698037,57.27042867,19.8461762,36.08980089,0.103645836,26.4245741,0.584856547,108.0954257,1.21,0.39,1.8,1.07,1.72966844,31.12013245
Angola,1996,63.76958173,174.3928801,11.43743467,37.95073089,14.37353672,0.007879457,93.41773307,60.39473089,20.57253672,37.48319774,0.143447457,25.5461813,0.596755238,110.6232984,1.05,0.41,1.88,0.99,1.998733105,32.20446463
Angola,1997,64.53267349,169.9115596,11.75621067,38.63507981,14.13034194,0.011041078,90.91409677,59.24307981,19.74334194,38.57247458,0.161265078,25.1902799,0.608653928,105.3788861,1.07,0.64,1.74,1.05,2.02779777,33.12467681
Angola,1998,67.64378611,183.5868038,11.40068533,40.62451952,15.60437855,0.014202698,95.17470303,65.62051952,22.77737855,38.97645809,0.190074698,27.8567008,0.620552619,115.9430177,0.68,0.58,1.3,0.83,2.156862435,34.09959566
Angola,1999,67.67885616,176.5197071,12.66564533,40.55471044,14.44113607,0.017364319,91.88349623,63.53771044,21.08113607,41.09985493,0.119956319,25.8265936,0.632451309,108.8408509,1.19,0.84,1.48,1.16,2.4359271,35.18392783
Angola,2000,68.98251442,177.3067294,12.38786133,41.70801856,14.86610859,0.02052594,94.78507633,62.28001856,20.22110859,41.61089178,0.11945394,26.6078187,0.64435,108.324215,1.43,0.93,1.57,1.07,2.254991765,35.77590001
Angola,2001,73.86612316,162.8792052,12.96373333,45.80133257,15.07339339,0.027663865,84.45481533,59.94333257,18.45339339,45.9275403,0.302463865,26.930379,0.70574,89.013082,1.55,1.04,1.62,1.2,2.425187243,39.64235306
Angola,2002,78.25011268,184.9664022,13.674544,49.59363749,14.9471294,0.034801791,97.6978335,67.99563749,19.2381294,50.53301549,0.331585791,26.6183814,0.76713,106.7162895,1.33,1.04,1.78,1.48,2.505382721,43.72763277
Angola,2003,89.93226542,200.0231838,18.07588,54.9670396,16.84740611,0.041939717,105.0687984,73.8070396,21.10540611,58.79970401,0.390019717,29.9140217,0.82852,110.0909184,0.8,1.22,1.83,2.75,2.615578199,50.38412581
Angola,2004,95.7309387,216.2453342,19.04696533,59.24223811,17.39265761,0.049077643,112.7693608,81.00923811,22.41765761,63.65812586,0.426469643,30.7564333,0.88991,120.5143955,1.3,0.85,2.1,3.14,2.705773677,54.85235218
Angola,2005,99.01559778,221.0412224,18.34896267,63.28306323,17.32735632,0.056215568,113.1165873,85.43006323,22.43835632,66.59830771,0.712071568,30.7539185,0.9513,122.0256246,0.91,0.98,1.72,2.45,2.455969155,58.99233856
Angola,2006,105.9220707,201.8826998,20.47827467,69.74436041,15.6350757,0.064359886,95.69290377,86.32836041,19.7970757,76.21762527,0.749527886,27.7692669,1.1856505,95.9606291,0.82,1.07,1.96,3.26,3.451477033,66.47614824
